"Package","Users"
"devtools","mans.magnusson@liu.se"
"adaptMCMC",""
"affy",""
"affydata",""
"affyio",""
"affyPLM",""
"akima",""
"ape",""
"aplpack",""
"BayesTree",""
"BH",""
"biglm",""
"Biobase",""
"BiocGenerics",""
"BiocInstaller",""
"Biostrings",""
"bit",""
"bitops",""
"BMA",""
"BRugs",""
"class",""
"classifly",""
"cluster",""
"coda",""
"coin",""
"colorspace",""
"corpcor",""
"data.table",""
"DBI",""
"deepnet",""
"DEoptimR",""
"DescribeDisplay",""
"devtools",""
"dichromat",""
"digest",""
"e1071",""
"evaluate",""
"fANCOVA",""
"fastICA",""
"fastmatch",""
"fdrtool",""
"ff",""
"ffbase",""
"fields",""
"foreign",""
"formatR",""
"Formula",""
"fossil",""
"GA",""
"gam",""
"gclus",""
"gcrma",""
"GGally",""
"ggbiplot",""
"ggplot2","mans.magnusson@liu.se"
"glasso",""
"glmnet",""
"gRain",""
"gRbase",""
"gridExtra",""
"gRim",""
"gtable",""
"hexbin",""
"highr",""
"HMM",""
"httr","mans.magnusson@liu.se"
"igraph",""
"inline",""
"IRanges",""
"kernlab",""
"KernSmooth",""
"knitr","mans.magnusson@liu.se"
"labeling",""
"lattice",""
"leaps",""
"limma",""
"lmtest",""
"locfdr",""
"locfit",""
"lpSolve",""
"lubridate","mans.magnusson@liu.se"
"maps","mans.magnusson@liu.se"
"maptools","mans.magnusson@liu.se"
"markdown",""
"MASS",""
"Matrix",""
"maxLik",""
"mboost",""
"mclust",""
"MCMCglmm",""
"MCMCpack",""
"memoise",""
"meta",""
"mgcv",""
"miscTools",""
"mixtools",""
"mlogit",""
"modeltools",""
"munsell",""
"muscle",""
"mvtnorm",""
"neuralnet",""
"nlme",""
"nnet",""
"nnls",""
"party",""
"pls",""
"plyr",""
"polspline",""
"portfolio",""
"preprocessCore",""
"princurve",""
"ProDenICA",""
"proto",""
"qtl",""
"quadprog",""
"R2OpenBUGS",""
"R2WinBUGS",""
"randomForest",""
"RColorBrewer","mans.magnusson@liu.se"
"Rcpp","mans.magnusson@liu.se"
"RcppArmadillo","mans.magnusson@liu.se"
"RcppEigen","mans.magnusson@liu.se"
"RCurl","mans.magnusson@liu.se"
"reshape",""
"reshape2",""
"rgeos",""
"rggobi",""
"rgl",""
"RGtk2",""
"rJava",""
"robustbase",""
"rpart",""
"RSNNS",""
"rstan",""
"sampling",""
"sandwich",""
"scales",""
"segmented",""
"seqinr",""
"seriation",""
"shapefiles",""
"slam",""
"sp",""
"spam",""
"spatial","mans.magnusson@liu.se"
"spikeSlabGAM",""
"stabs",""
"statmod",""
"stringr","mans.magnusson@liu.se"
"strucchange",""
"survey","mans.magnusson@liu.se"
"survival",""
"tensorA",""
"tm","mans.magnusson@liu.se"
"tourr",""
"tree",""
"TSA",""
"tseries",""
"TSP",""
"wavelets",""
"wavethresh",""
"VennDiagram",""
"whisker",""
"wordcloud",""
"wordnet",""
"XVector",""
"zlibbioc",""
"zoo",""
"pxweb","mans.magnusson@liu.se"
"repmis","mans.magnusson@liu.se"
"ggmap","mans.magnusson@liu.se"
"caTools","(dep for knitr och Rmd) mans.magnusson@liu.se"
"formatR","(dep for knitr och Rmd) mans.magnusson@liu.se"
"highr","(dep for knitr och Rmd) mans.magnusson@liu.se"
"htmltools","(dep for knitr och Rmd) mans.magnusson@liu.se"
"knitr","(dep for knitr och Rmd) mans.magnusson@liu.se"
"markdown","(dep for knitr och Rmd) mans.magnusson@liu.se"
"rmarkdown","(dep for knitr och Rmd) mans.magnusson@liu.se"
"yaml","(dep for knitr, Rmd och markmyassignment) mans.magnusson@liu.se"
